courseId,courseName
civ230h1s,Analytical Methods
civ232h1f,Probability
ece122h1f,Physics
ece1514h1f,Deep Learning
ece255h1s,Programming Algorithms
ece300h1s,Circuits
ece322h1s,Circuits II
ece330h1f,Statistics
edm304h1s,Prevent.Eng.&Soc.Dev
mie100h1s,Dynamics
mie191h1s,Introduction To Mechanical And Industrial Engineering
mie210h1s,Thermodynamics
mie222h1s,Mech.Of Solids I
mie230h1f,Engineering Analysis
mie231h1f,Prob.& Stat.For Eng.
mie235h1f,Algorithms Numerical Methods
mie237h1s,Statistics And Design Of Experiment
mie240h1f,Hum.Cent.Syst.Design
mie241h1s,Eng.Design &Graphics
mie253h1s,Data Modelling
mie258h1f,Engineering Economics And Accounting
mie262h1s,Operational Res.I
mie265h1f,Introduction To Systems Engineering
mie270h1f,Fluid Mechanics I
mie301h1f,Kine.&Dynam.Of Mach.
mie302h1s,Vibrations
mie310h1f,Thermodynamics
mie311h1s,Ther.Ener.Conversion
mie312h1f,Fluid Mechanics I
mie313h1s,Heat & Mass Transfer
mie320h1s,Mech. Of Solids Ii
mie321h1s,Manufacturing Engin.
mie337h1f,Stat.& Exper. Design
mie342h1f,Cir.With Appl.To Mech.Eng.Sys.
mie343h1f,Indust.Ergo.& Workpl
mie344h1s,Ergo.Des.Of Info.Sys
mie346h1s,Anal.&Digital Electr.For Mech.
mie347h1s,Electromechanical Energy Conv.
mie350h1f,Des.&Ana.Of Info.Sys
mie353h1s,Data Modelling
mie354h1s,Info.Sys.Infrastructure I
mie355h1f,Software Eng.& Project Manag.
mie358h1f,Eng.Econo.& Account.
mie359h1s,Organization Design
mie360h1f,Sys.Modelling & Sim.
mie363h1s,Resource &Production Modelling
mie364h1s,Met.Of Qual.Cont.Imp
mie365h1s,Operat. Research Ii
mie372h1f,Control Systems
mie373h1s,Resource & Production Systems
mie374h1s,Eco.Ana.& Dec.Making
mie404h1f,Control Systems I
mie414h1f,App. Fluid Mechanics
mie415h1s,Design For The Environment
mie418h1s,Fluid Mechanics Ii
mie422h1s,Automa.Manufacturing
mie439h1s,Biomechanical Engin.
mie440h1f,Mechanical Design: Theory And Methodology
mie441h1s,Comput. Aided Design
mie442h1s,Machine Design
mie444h1f,Mechatronics Prin.
mie448h1f,Eng.Psychology &Human Perform.
mie449h1s,H/Com.Int.Des.Com.Sy
mie451h1f,Decision Support Sys
mie456h1f,Info.Sys.Infrastructure Ii
mie457h1f,Knowledge Modelling & Manage.
mie460h1s,Manufact.& Prod.Sys.
mie467h1f,Adv.Operational Res.
mie468h1s,Facility Planning
mie469h1s,Reliab.& Maintainability Eng.
mie496h1f,Thesis/Design Proj.
mie496y1f,Thesis/Design Proj.
mie496y1y,Thesis/Design Proj.
mie512h1f,Air Poll.Form.& Con.
mie514h1s,Atmospher.Pollution
mie515h1s,Alternative Energy Systems
mie540h1s,Product Design
mie561h1s,Healthcare Systems
mie562h1f,Scheduling
mie566h1f,Decision Analysis
