profId,courseId
6001,mie347h1s
6001,mie457h1f
6002,mie320h1s
6003,mie253h1s
6004,mie301h1f
6004,mie439h1s
6005,mie222h1s
6005,mie562h1f
6007,mie262h1s
6008,mie358h1f
6008,mie404h1f
6008,mie512h1f
6009,mie359h1s
6009,mie360h1f
6011,mie302h1s
6012,mie258h1f
6014,mie496y1f
6020,mie100h1s
6020,mie418h1s
6023,mie210h1s
6024,mie373h1s
6024,mie451h1f
6025,mie313h1s
6025,mie354h1s
6026,mie311h1s
6026,mie374h1s
6027,mie514h1s
6032,mie235h1f
6034,mie310h1f
6036,mie312h1f
6037,mie448h1f
6038,mie353h1s
6038,mie442h1s
6039,mie240h1f
6040,mie355h1f
6044,mie440h1f
6045,mie449h1s
6046,mie468h1s
6049,mie230h1f
6050,mie496h1f
6053,mie346h1s
6053,mie364h1s
6057,mie344h1s
6057,mie441h1s
6059,mie241h1s
6059,mie265h1f
6059,mie540h1s
6061,edm304h1s
6066,mie231h1f
6067,mie365h1s
6069,mie561h1s
6070,mie415h1s
6074,mie414h1f
6074,mie515h1s
6079,mie343h1f
6079,mie350h1f
6080,mie270h1f
6080,mie372h1f
6080,mie460h1s
6080,mie467h1f
6085,mie363h1s
6085,mie496y1y
6086,mie469h1s
6086,mie566h1f
6087,mie191h1s
6087,mie444h1f
6089,mie321h1s
6092,mie237h1s
6092,mie422h1s
6093,mie337h1f
6094,mie342h1f
6096,mie456h1f
6100,ece1514h1f
6100,ece255h1s
6100,ece300h1s
6100,ece322h1s
6100,ece330h1f
6101,civ230h1s
6101,civ232h1f
